term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
heftig,"…konnte kaum atmen, so heftig schlug ihr Herz.",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"violent, fierce",,
mäuseschwänze,einige stolpern über die Mäuseschwänze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,mice tails,,
sachter,"Ein sachter Wind hatte sich erhoben,…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"more gentle, soft",,
fahl,"…Himmel war immer noch fahl und grau, es wollte…",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj.  pale, colourless",,
achtete,…keiner der beiden Männer achtete auf sie.,verb,ich,indikativ,präteritum,achten,verb,indikativ,ich,präteritum,achten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"pay attention, respect, honor, value; pay heed to",,
schlüpfte,"…sie zu, aber Meggie schlüpfte ihm unter den Händen…",verb,ich,indikativ,präteritum,ausschlüpfen,schlüpfen,schlupfen,Substantiv,verb,indikativ,ich,präteritum,substantiv,ausschlüpfen,schlüpfen,schlupfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,slip,,
unheimliches,"…auch Mühe gab, etwas Unheimliches an ihm zu entdecken,…",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. scary, frightening, causing fear, eerie, uncanny, mysterious",,
verheimlichen,"…würde ihnen nicht lange verheimlichen können, dass ich dich…",verb,präsens,wir,verb,präsens,wir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hide, conceal, keep secret",,
sosehr,Und sosehr Meggie sich auch Mühe…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adv.  so much, very, extremely, to such an extent",,
fürchten,"...sich vor jemandem zu fürchten, von dem sie nur...",verb,präsens,wir,Adjektiv,Substantiv,adjektiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to dread, to fear",,
erleichterung,…narbigem Gesicht machte sich Erleichterung breit.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -en) n. relief, alleviation, easement, easing, lightening",,
narbigem,Auf Staubfingers narbigem Gesicht machte sich Erleichterung…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,scarred,,
anbieten,…Tisch für vier Personen anbieten.,verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"offer; bid, propose a price; present, submit, give; express",,
veranstaltung,Die Veranstaltung dauert auch den ganzen…,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(die) event,,
aufzumachen,"habe Angst, die Augen aufzumachen“, denkt sie",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"open, undo, unfassen",,
heer,Sie können meinem Heer beitreten,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"Heer (das) n. army, military force, military troops",,
beitreten,Sie können meinem Heer beitreten,verb,ich,futur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to join (to become a member of of something),,
festlich,Ihre Kleidung ist festlich,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"festive, solemnly, ceremonial",,
saust,aus der Hand und saust um den Tannenbaum herum,verb,präsens,du,einsauen,sauen,sausen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to dash/ speed/ whizz,,
spottend,"Kapitän Nussknacker!“, ruft Fritz spottend",verb,präsens,partizip,spotten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"mockingly, derisively",,
fest,...Finger?« Meggie blickte ihm fest in die Augen.,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adv. firm, firmly, solidly",,
verteilt,Onkel Drosselmeyer verteilt die Geschenke; er hat,verb,präsens,er/sie/es,umverteilen,verteilen,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"distributed, allocated, dispersed, spread",,
peng,auf den Boden und... PENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Bang!,,
denkmäler,es gibt sehr viele Denkmäler,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das, -:er) n. pl. memorial, monument,",,
schlinge,seinen Arm in eine Schlinge legen,verb,ich,präsens,schlingen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"loop, noose, sling",,
spielwarenmesse,findet hier auch eine Spielwarenmesse statt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"toy trade fair, die",,
messe,Diese Messe ist sehr wichtig: Spielwarenhersteller,verb,ich,präsens,abmeßen,abmessen,meßen,messen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) exhibition, display, show; fair, market, bazaar",,
gesenkter,...hörte Meggie ihn mit gesenkter Stimme fragen.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"lowered, bowed [head]",,
spielwarenhersteller,Messe ist sehr wichtig: Spielwarenhersteller 3 aus der ganzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,toys manufacturer,,
sehenswürdigkeiten,"Sehenswürdigkeiten: die Nürnberger Burg, der",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -en) n. pl. sight, something worth looking at",,
lebkuchen,"Produkte: Nürnberger Lebkuchen, auch Pfefferkuchen genannt, Nürnberger",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,der. gingerbread,,
burg,"genannt, Nürnberger Die Nümberger Burg",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) castle, fortress",,
mitternachtszauber,Mitternachtszauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,midnight magic,,
seltsam,STEFAN: Das ist wirklich seltsam.,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bizarre, strange, queer, odd, weird",,
gemüsebeilagen,mit Gemüsebeilagen und Gemüsebolognese.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,vegetable side dishes,,
riesig,ist im Wohnzimmer alles riesig und Clara sehr klein,Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj.  colossal, enormous, gigantic, giant, huge, Gargantuan, immense, tremendous, impressive, extremely large;",,
auswahl,…Wir haben eine kleine Auswahl an rein vegetarischen Gerichten.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) range, choice, selection, variety, eligibility",,
schwanz,groß und haben einen Schwanz,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) n. tail,,
tapfer,der Nussknacker ist sehr tapfer,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"brave, bravely",,
stolpern,"gute Kämpfer, aber einige stolpern über die Mäuseschwänze",verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"stumble, trip",,
weiches,denen man Goldmuster in weiches Leder drückte … Meggie schob,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. soft, fluffy, smooth",,
stehende,"Kopf durch die offen stehende Tür – und sah, wie",Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"standing, upright, erect",,
schwerter,gegeneinander und benutzen ihre Schwerter,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das, -er) n. pl. swords",,
einschlug,ein Buch in Packpapier einschlug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hammered, smashed",,
abgegriffen,"aus blassgrünem Leinen sah abgegriffen aus, doch mehr konnte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,worn,,
rieche,"so laut, und ich rieche Rauch",verb,ich,präsens,riechen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,smell,,
finster,"sprachlos vor Schreck, so finster war sein Gesicht",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. - gloomy, dour, bleak, ominous; adv. - similar",,
schießt,Ein Soldat schießt mit der Spielzeugkanone. PENG,verb,präsens,du,schiessen,schießen,vorschießen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,shoots,,
knisterte,Und hinter seinem Rücken knisterte das Packpapier,verb,ich,indikativ,präteritum,knistern,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,crackled,,
eingeschlagen,"das er in Packpapier eingeschlagen hatte, war nicht dabei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. drive into; choose as a target, make a choice",,
beherrschen,...du die Sprache schon beherrschen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to master,  dominate",,
brunnen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) well, water hole; spring",,
münze,"am Himmel, wie eine Münze, die jemand dort oben",verb,ich,präsens,ummünzen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(die) n.  coin,,
roch,"...Morgen, der nach Regen roch.",verb,ich,indikativ,präteritum,riechen,Substantiv,verb,indikativ,ich,präteritum,substantiv,riechen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(ich) v. prät. smelled,,
abfiel,"…bewachsenen Abhang, der steil abfiel zum Ufer eines großen…",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"fell away, (dropped, fell)",,
glänzenden,"…mit all den matt glänzenden Spitzen, ein Tor aus…",Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"shiny, glossy, bright",,
angähnte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,yawn,,
geradewegs,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"straight away, immediately",,
bösewicht,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,villain,,
schnarchen,,verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,snore,,
hörnchen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vorstellungen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"imagining, idea",,
verhindern,"gibt!« Meggie konnte nicht verhindern, dass ihre Stimme vor",verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"prevent, avert, hinder, block, thwart, foil, stop, withhold",,
überheblich,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zugleich,,Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,at the same time,,
rätselhafte,,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,mysterious,,
spott,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"derision, mockery, ridicule",,
brennnesselgift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Nettle poison,,
verstaute,,verb,ich,indikativ,präteritum,verstauen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to stow, tuck; store away",,
pelzkragen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der)  fur collar, collar made of fur",,
blinzelndes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,winking,,
hockte,,verb,ich,indikativ,präteritum,hocken,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"squatted, crouched",,
behutsam,,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,carefully,,
gemeinsame,,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"common, shared",,
zerbrach,,verb,ich,indikativ,präteritum,zerbrechen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,broke,,
buschig,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,bushy,,
bohrte,,verb,ich,indikativ,präteritum,bohren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bored, drilled",,
entblößte,,verb,ich,indikativ,präteritum,entblößen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,exposed,,
gähnte,,verb,ich,indikativ,präteritum,gähnen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,yawned,,
schläfrig,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"dozy, sleepy",,
beißen,,verb,präsens,wir,abbeißen,abbeissen,abeisen,anbeißen,aufbeißen,aufeinanderbeißen,ausbeißen,beissen,durchbeißen,entzweibeißen,festbeißen,herausbeißen,hinausbeißen,hineinbeißen,reinbeißen,totbeißen,wegbeißen,zubeißen,zusammenbeißen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,bite,,
marder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) Marten, a type of carnivorious animal",,
fingerspitzen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(die) fingertip,,
so etwas in der art,So etwas in der Art.« Staubfinger griff in die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,something like that,,
kaute,,verb,ich,indikativ,präteritum,kauen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,chewed,,
riemen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(r) - oar, paddle, long pole with a wide flat end that is used to propel a boat; strap, band, strip",,
zuzog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,drew upon/to/together,,
kraulte,,verb,ich,indikativ,präteritum,kraulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,scratched,,
spüren,,verb,präsens,wir,aufspüren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,feel,,
seidigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,silky,,
zwinkerte,,verb,ich,indikativ,präteritum,zwinkern,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,winked,,
verrate,,verb,ich,präsens,verraten,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"verraten v. betray, be disloyal; reveal a secret, give away, tell",,
plauderst,,verb,präsens,du,plaudern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"gossip, chat",,
beschäftigte,Aber noch mehr beschäftigte sie eine andere Frage,verb,ich,indikativ,präteritum,beschäftigen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,was concerned with; was preoccupied with,,
bedrohlichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,threatening,,
vorbeizog,"Die Welt, die vorbeizog, sah schon jetzt fremd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,filed past,,
fürchte,,verb,ich,präsens,fürchten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"fear, be afraid",,
gewöhnt,,verb,präsens,er/sie/es,abgewöhnen,gewöhnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"accustomed; habitually, usually",,
hügeln,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,hills,,
verschluckte,,verb,ich,indikativ,präteritum,verschlucken,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,swallowed,,
seufzte,,verb,ich,indikativ,präteritum,seufzen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,sigh,,
vertreiben,,verb,präsens,wir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"expel, banish, drive away, exile,",,
schroffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,rugged,,
zählte,"indem sie die Tunnel zählte, doch als der neunte",verb,ich,indikativ,präteritum,abzählen,aufzählen,auszählen,durchzählen,mitzählen,zählen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,counted,,
weist,Kommissar Gandolf weist auf einen Stuhl.,verb,präsens,du,abweisen,anweisen,aufweisen,ausweisen,einweisen,hinweisen,nachweisen,unterweisen,vorweisen,weisen,zurechtweisen,zurückweisen,zuweisen,verb,präsens,weisen,du,anweisen,abweisen,aufweisen,einweisen,hinweisen,zurechtweisen,unterweisen,ausweisen,nachweisen,zurückweisen,zuweisen,vorweisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"show, guide, direct, point, indicate",,
zerrissene,"FRAU SCHNEIDER: — Eine alte, zerrissene! Jeans, wie es jetzt...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,torn,,
dazu,"Tomaten, Gurken und trinke dazu eine Tasse Tee oder",Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"in addition, to it, to",,
wäre,Wie wäre es um achtzehn Uhr...,verb,ich,präteritum,konjunktiv,sein,Substantiv,verb,ich,konjunktiv,sein,präteritum,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"would be, would",,
lasse,Zur Kontrolle lasse ich ihn ins Krankenhaus...,verb,ich,präsens,ablaßen,ablassen,anlassen,auflassen,auslassen,durchlassen,einlassen,freilassen,heranlassen,herauflassen,herbeilassen,hereinlassen,herunterlassen,lassen,liegenlassen,loslassen,nachlassen,ranlassen,überlassen,unterlassen,vorbeilassen,vorlassen,weglassen,zulassen,zurücklassen,Substantiv,verb,präsens,ich,lassen,substantiv,überlassen,vorlassen,durchlassen,freilassen,ablaßen,einlassen,ranlassen,loslassen,vorbeilassen,auslassen,heranlassen,herauflassen,weglassen,auflassen,anlassen,zurücklassen,herbeilassen,hereinlassen,zulassen,herunterlassen,nachlassen,ablassen,liegenlassen,unterlassen,,,,,,,,,,,en,"let, allow",,
unternehmen,er möchte lieber etwas unternehmen,verb,ich,futur,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to do, to make, to perform, to execute",,
erhalten,"Tutor eine Schreibübung korrigiert, erhalten Sie einen Bericht",verb,präsens,wir,aufrechterhalten,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,receive,,
gestalt,...Steuer sitzt eine weiße Gestalt.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) figure, shape, structure",,
stock,Er ist im ersten Stock und schaut auf die...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der, -:e) n. stick, cane, pointer, baton, cue; floor, level of a building, story",,
wiederholen,...Wörter und Sätze regelmäßig wiederholen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"repeat, reiterate",,
