lemma,word,pos
sagen,sagt,VERB
sammeln,sammeln,VERB
sammeln,sammelt,VERB
saugen,saugen,VERB
schaffen,geschafft,VERB
schaffen,schaffen,VERB
schaffen,schaffe,VERB
schaffen,Geschafft,VERB
schauen,schaust,VERB
schauen,schaut,VERB
schauen,schau,VERB
schauen,schaue,VERB
schauen,Schauen,VERB
schauen,schauen,VERB
schauen,geschaut,VERB
schauen,schaute,VERB
scheinen,scheint,VERB
schenken,schenken,VERB
schicken,schicke,VERB
schicken,schicken,VERB
schimpfen,schimpfen,VERB
schimpfen,schimpfst,VERB
schlafen,schlafen,VERB
schlagen,schlage,VERB
schließen,geschlossen,VERB
schließen,schließen,VERB
schließen,schließt,VERB
schließen,schließe,VERB
schmecken,schmeckt,VERB
schmecken,geschmeckt,VERB
schmecken,Schmeckt,VERB
schneiden,schnitt,VERB
schneiden,schnitten,VERB
schneiden,schneide,VERB
schneiden,schneidet,VERB
schneiden,schneiden,VERB
schneiden,geschnitten,VERB
schneien,schneit,VERB
schreiben,schreibt,VERB
schreiben,Schreib,VERB
schreiben,schreibe,VERB
schreiben,schreiben,VERB
schwimmen,schwimmen,VERB
schätzen,schätzen,VERB
sehen,sehe,VERB
sehen,gesehen,VERB
sehen,sehen,VERB
sehen,sieht,VERB
sehen,Sieh,VERB
sein,warst,AUX
sein,sei,AUX
sein,Bist,AUX
sein,wäre,AUX
sein,Sind,AUX
sein,ist,AUX
sein,Sei,AUX
sein,sind,AUX
sein,Seid,AUX
sein,bin,AUX
sein,war,AUX
sein,sein,AUX
sein,bist,AUX
sein,Ist,AUX
setzen,Setz,VERB
singen,singen,VERB
sitzen,sitzen,VERB
sollen,sollst,AUX
sollen,Sollen,AUX
sollen,Soll,AUX
sollen,soll,AUX
sparen,sparen,VERB
spazieren,spazieren,VERB
speichern,speichern,VERB
speichern,gespeichert,VERB
spielen,Spielt,VERB
spielen,spielt,VERB
spielen,spielen,VERB
spielen,spiele,VERB
spielen,Spielen,VERB
sprechen,Sprechen,VERB
sprechen,sprechen,VERB
sprechen,sprächest,VERB
sprechen,sprachst,VERB
sprechen,spreche,VERB
sprechen,sprichst,VERB
sprechen,spricht,VERB
sprechen,gesprochen,VERB
stehen,stehe,VERB
stehen,stehen,VERB
stehen,steht,VERB
steigen,steig,VERB
steigen,stiegst,VERB
steigen,steige,VERB
steigen,steigst,VERB
steigen,steigt,VERB
steigen,steigen,VERB
steigen,gestiegen,VERB
steigen,stieg,VERB
steigen,stiegen,VERB
stellen,gestellt,VERB
stellen,stellst,VERB
stellen,stelle,VERB
stellen,stelltest,VERB
stellen,stellt,VERB
stellen,Stell,VERB
stellen,stellen,VERB
sterben,gestorben,VERB
stimmen,stimmt,VERB
streiten,streiten,VERB
studieren,studieren,VERB
studieren,studiert,VERB
stören,Stört,VERB
stören,stört,VERB
stören,stören,VERB
suchen,suche,VERB
suchen,sucht,VERB
tauschen,tauschen,VERB
teilen,teilen,VERB
teilnehmen,teilnehmen,VERB
teilnehmen,teilzunehmen,VERB
tragen,trägt,VERB
tragen,tragen,VERB
tragen,Tragen,VERB
trainieren,trainieren,VERB
treffen,treffe,VERB
treffen,treffen,VERB
treiben,treiben,VERB
trinken,trinken,VERB
trinken,trinke,VERB
träumen,geträumt,VERB
träumen,träume,VERB
tun,tun,VERB
tun,tut,VERB
umschauen,umschauen,VERB
umsteigen,umsteigen,VERB
umziehen,umziehen,VERB
unterhalten,unterhalten,VERB
unternehmen,unternehmen,VERB
unterrichten,unterrichten,VERB
unterschreiben,unterschreiben,VERB
unterstützen,unterstützen,VERB
untersuchen,untersuchen,VERB
untersuchen,untersucht,VERB
verabreden,verabredet,VERB
verabreden,verabreden,VERB
verbessern,verbessert,VERB
verbessern,verbessern,VERB
verbieten,verbiete,VERB
verbieten,verbietest,VERB
verbieten,verbötest,VERB
verbieten,verboten,VERB
verbieten,verbot,VERB
verbinden,verbinden,VERB
verbreiten,verbreitet,VERB
verdienen,verdiene,VERB
vereinbaren,vereinbaren,VERB
verfeinern,verfeinern,VERB
verfügen,verfügen,VERB
vergessen,vergesse,VERB
vergessen,vergessen,VERB
vergessen,vergesst,VERB
vergessen,vergaß,VERB
vergessen,vergäße,VERB
vergessen,Vergessen,VERB
vergessen,Vergiss,VERB
vergessen,vergiss,VERB
vergleichen,vergleichen,VERB
verhalten,verhalten,VERB
verkaufen,verkauft,VERB
verlassen,verlassen,VERB
verletzen,verletzt,VERB
verlieben,verliebt,VERB
verlieren,verloren,VERB
vermieten,vermietet,VERB
verneinen,verneinen,VERB
verpassen,verpasst,VERB
verreisen,verreist,VERB
verschieben,verschieben,VERB
verstecken,verstecken,VERB
verstehen,verstand,VERB
verstehen,verstanden,VERB
verstehen,verstehen,VERB
verstehen,verstehe,VERB
versuchen,versuchen,VERB
versuchen,versucht,VERB
verteilen,verteilt,VERB
vertun,vertun,VERB
verwenden,verwenden,VERB
vorbereiten,vorbereiten,VERB
wandern,wandern,VERB
warten,Warten,VERB
warten,wartet,VERB
warten,warte,VERB
waschen,wasche,VERB
waschen,waschen,VERB
wechseln,gewechselt,VERB
wechseln,wechseln,VERB
wecken,wecken,VERB
wegfahren,wegfahren,VERB
wegmachen,wegmachen,VERB
wegnehmen,weggenommen,VERB
wegwerfen,wegwerfen,VERB
wehtun,wehtun,VERB
weinen,weint,VERB
weiterhelfen,weiterhelfen,VERB
weitermachen,weitermachen,VERB
werben,wirbt,VERB
werben,werben,VERB
werden,würde,AUX
werden,werden,AUX
werden,wird,AUX
werfen,Wirf,VERB
wiederholen,wiederholen,VERB
wiegen,wiegt,VERB
wissen,wüsstest,VERB
wissen,gewusst,VERB
wissen,Weißt,VERB
wissen,wisst,VERB
wissen,wissen,VERB
wissen,weiß,VERB
wissen,wusstest,VERB
wissen,weißt,VERB
wissen,wisse,VERB
wissen,wüsste,VERB
wissen,wüsstet,VERB
wohnen,gewohnt,VERB
wohnen,wohnen,VERB
wohnen,wohnt,VERB
wohnen,wohne,VERB
wollen,will,AUX
wollen,wollen,AUX
wollen,wollte,AUX
wollen,Wollen,AUX
wollen,wollten,VERB
wählen,Wählen,VERB
wählen,wählen,VERB
zahlen,zahlen,VERB
zeichnen,zeichnen,VERB
zeigen,zeigen,VERB
ziehen,ziehe,VERB
ziehen,Zieh,VERB
ziehen,ziehen,VERB
zurückgeben,zurückgeben,VERB
zusammenleben,zusammenleben,VERB
zutreffen,zutreffen,VERB
ändern,geändert,VERB
ärgern,ärgere,VERB
öffnen,öffnen,VERB
öffnen,geöffnet,VERB
öffnen,Öffnen,VERB
öffnen,öffnest,VERB
öffnen,öffnetest,VERB
üben,übe,VERB
übernachten,übernachten,VERB
überqueren,überqueren,VERB
überreden,überreden,VERB
übersetzen,übersetzen,VERB
überweisen,überweise,VERB
überweisen,überweisen,VERB
